GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_INTERLEUKIN_6_SIGNALING	Unclear	0.606354971794446	0.799723671962104	-1	IL6ST:1935, CBL:2520, JAK2:6991.5, TYK2:6991.5, STAT1:6991.5, IL6R:6991.5, JAK1:6991.5, PTPN11:6991.5, SOCS3:6991.5, IL6:13825
REACTOME_APOPTOSIS	Both	0.0563174376359238	0.212768396243793	-1	DBNL:51, TRAF2:64, PLEC:87, BCAP31:151, PTK2:182, H1-2:398, UBA52:499, DSG3:589, H1-4:603, RPS27A:631, PSMF1:691, PSMA1:795, VIM:828, LMNB1:849, PSMD12:951, H1-3:1072, DSG2:1184, DSP:1262, CASP7:1310, TJP1:1495, BCL2L1:1501, H1-5:1540, PKP1:1611, CASP9:1643, RIPK1:1856, PPP1R13B:1875, BMX:2175, XIAP:2414, CDH1:2508, PSMB1:6991.5, BID:6991.5, FAS:6991.5, CASP8:6991.5, ROCK1:6991.5, PSME4:6991.5, ARHGAP10:6991.5, TP73:6991.5, BAX:6991.5, ADD1:6991.5, DNM1L:6991.5, DYNLL1:6991.5, PSMD8:6991.5, PSMB5:6991.5, E2F1:6991.5, PSMD10:6991.5, STK24:6991.5, TRADD:6991.5, MAPK3:6991.5, BMF:6991.5, GSDMD:6991.5, AKT2:6991.5, BBC3:6991.5, GSDME:6991.5, PSMD3:6991.5, BIRC2:6991.5, PSMD9:6991.5, UNC5A:6991.5, TFDP2:6991.5, FASLG:6991.5, TJP2:6991.5, APAF1:6991.5, TNFSF10:6991.5, H1-1:6991.5, PSMB2:6991.5, PSME3:6991.5, STK26:6991.5, DSG1:6991.5, NMT1:6991.5, TLR4:6991.5, PSMB7:6991.5, UACA:6991.5, CASP6:6991.5, TP53:6991.5, AKT1:6991.5, PSMB6:6991.5, TP53BP2:6991.5, CDKN2A:6991.5, GSN:6991.5, GAS2:6991.5, APIP:6991.5, BCL2L11:6991.5, LY96:6991.5, PSMA8:6991.5, APPL1:6991.5, PSMD4:6991.5, PSMB4:6991.5, LMNA:6991.5, PSMD6:6991.5, HMGB2:6991.5, CASP3:6991.5, FADD:6991.5, DFFB:6991.5, AVEN:6991.5, UBB:6991.5, CD14:6991.5, BCL2:6991.5, PSMD1:6991.5, PSMD2:6991.5, SFN:6991.5, PAK2:6991.5, SATB1:6991.5, DIABLO:6991.5, PSMD13:6991.5, MAPT:6991.5, DCC:6991.5, H1-0:6991.5, DAPK1:6991.5, SPTAN1:6991.5, TFDP1:6991.5, OPA1:6991.5, PSMB8:6991.5, PSMB10:6991.5, PPP3R1:6991.5, PSMB11:6991.5, TICAM2:6991.5, BAD:11405, TP63:11516, PSMB9:11541, PSME2:11667, SEM1:11823, CFLAR:12069, PRKCD:12216, DYNLL2:12374, APC:12387, PSMD5:12390, OMA1:12484, DAPK2:12555, DFFA:12561, PSME1:12602, UNC5B:12653, PRKCQ:12806, FNTA:12961, C1QBP:13411, OCLN:13479, DAPK3:13666, BAK1:13977, PPP3CC:14288, ACIN1:14539, CLSPN:14988
REACTOME_HEMOSTASIS	Herbivore	0.205726172706903	0.445822463209792	-1	PRKCG:10, DOCK1:30, L1CAM:39, DOCK4:81, ITPR1:92, DGKI:104, PDGFA:157, KIF1A:173, PTK2:182, CABLES2:187, TUBA4A:246, GPC1:275, ATP2B3:335, ITGA6:355, ATP2A2:358, MAFK:372, CHID1:420, ITGA3:434, SLC16A3:506, CAV1:519, KIF21B:543, AK3:548, GNB3:613, P2RX2:700, ISLR:702, DAGLA:708, TUBA1B:741, TLN1:751, H3C13:765, JAM2:826, PPP2R5C:830, WDR1:853, TGFB3:883, TRPC6:889, ECM1:913, ATP1B2:954, HSPA5:1042, GNAT3:1047, PPP2R5D:1093, PRKG2:1105, TIMP1:1148, KLC4:1172, FCER1G:1200, PDE1B:1210, SOD1:1256, P2RY1:1261, COL1A2:1353, APOA1:1358, KIF26A:1375, SLC16A8:1387, P2RX3:1393, VCL:1395, ACTN2:1401, GNA13:1416, TUBB2A:1438, PPIA:1450, DGKQ:1517, FN1:1522, TGFB1:1530, ALDOA:1542, SLC8A2:1563, H3C1:1575, TUBA8:1597, PTGIR:1615, TMX3:1631, PIK3CA:1640, PRKCA:1644, AAMP:1670, IGF2:1677, PIK3R5:1702, KCNMA1:1708, GNA12:1749, ADRA2C:1768, H3C11:1832, JAM3:1834, STX4:1863, H3C4:1867, PDE10A:1876, DGKD:1882, GNA14:1937, TUBB4A:1954, ATP2A3:1967, THBS1:2015, GNB5:2041, PTPN6:2045, PPP2R5B:2119, PRKAR1B:2217, ANXA5:2240, VEGFD:2259, VAV3:2274, SDC1:2298, KIF25:2303, CLU:2327, PPP2R1B:2343, P2RX7:2350, PDE2A:2359, TRPC3:2427, KIF3C:2512, NOS3:2578, CDC37L1:2597, JAK2:6991.5, PTPN11:6991.5, MAPK3:6991.5, TP53:6991.5, AKT1:6991.5, FGR:6991.5, TFPI:6991.5, KDM1A:6991.5, PRKAR2B:6991.5, TBXA2R:6991.5, CD9:6991.5, EHD3:6991.5, IGF1:6991.5, CD74:6991.5, HGF:6991.5, EHD2:6991.5, CD44:6991.5, PRKCH:6991.5, RAB27B:6991.5, LCP2:6991.5, BCAR1:6991.5, KIF1B:6991.5, DGKG:6991.5, GNA15:6991.5, GUCY1B1:6991.5, HMG20B:6991.5, DGKA:6991.5, PPP2R5A:6991.5, CD84:6991.5, RHOA:6991.5, KIF2A:6991.5, RASGRP2:6991.5, TRPC7:6991.5, ATP1B3:6991.5, CDC42:6991.5, ATP2B1:6991.5, PRKACA:6991.5, SPP2:6991.5, ACTN1:6991.5, SRI:6991.5, ACTB:6991.5, KIFAP3:6991.5, APBB1IP:6991.5, CAPZB:6991.5, RAPGEF3:6991.5, KIF22:6991.5, CARMIL1:6991.5, P2RX5:6991.5, APLP2:6991.5, APOB:6991.5, GP6:6991.5, DOCK3:6991.5, KIF9:6991.5, F11:6991.5, NOS1:6991.5, RCOR1:6991.5, KIF4A:6991.5, RAPGEF4:6991.5, APOH:6991.5, ANGPT2:6991.5, SLC7A8:6991.5, TGFB2:6991.5, BRPF3:6991.5, P2RX6:6991.5, PPIL2:6991.5, PICK1:6991.5, TIMP3:6991.5, PDGFB:6991.5, VTI1B:6991.5, ITPK1:6991.5, SLC8A3:6991.5, ABHD12:6991.5, PROCR:6991.5, TUBB1:6991.5, KIF3B:6991.5, F9:6991.5, GATA1:6991.5, DGKH:6991.5, SLC7A6:6991.5, SLC7A5:6991.5, CSK:6991.5, PLAT:6991.5, KLC3:6991.5, MAG:6991.5, PIK3CG:6991.5, DOCK8:6991.5, GATA3:6991.5, P2RX1:6991.5, AKAP10:6991.5, LGALS3BP:6991.5, COL1A1:6991.5, PRKAR1A:6991.5, PF4V1:6991.5, EHD1:6991.5, VWF:6991.5, PHACTR2:6991.5, VEGFA:6991.5, PRKAR2A:6991.5, ITGA4:6991.5, PDE1A:6991.5, SOS1:6991.5, QSOX1:6991.5, STXBP3:6991.5, HDAC1:6991.5, CAPZA1:6991.5, DOCK7:6991.5, MFN2:6991.5, PLA2G4A:6991.5, CD2:6991.5, CD48:6991.5, PIK3R3:6991.5, MYB:6991.5, EPCAM:6991.5, TEK:6991.5, AKAP1:6991.5, A1BG:6991.5, PLAU:6991.5, SRGN:6991.5, ITPR2:6991.5, CDK2:6991.5, SDC4:6991.5, PLCG1:6991.5, F13A1:6991.5, TREM1:6991.5, F10:6991.5, F2RL3:6991.5, CALU:6991.5, PDE11A:6991.5, ACTN4:6991.5, GATA5:6991.5, HABP4:6991.5, F12:6991.5, CAP1:6991.5, RAF1:6991.5, JCHAIN:6991.5, DOCK2:6991.5, P2RX4:6991.5, CD36:6991.5, CD63:6991.5, MICAL1:6991.5, DOCK10:6991.5, SERPINE2:6991.5, DGKB:6991.5, VPS45:6991.5, TUBB2B:6991.5, ARRB1:6991.5, KIF23:6991.5, OLA1:6991.5, ITGAV:6991.5, PDE5A:6991.5, KIF21A:6991.5, ITGAX:6991.5, PDPK1:6991.5, KIF2B:6991.5, GRB7:6991.5, VAV1:6991.5, APP:6991.5, PRKACB:6991.5, KIF2C:6991.5, ITGA10:6991.5, ATP1B1:6991.5, F13B:6991.5, SCCPDH:6991.5, LEFTY2:6991.5, MANF:6991.5, AHSG:6991.5, LHFPL2:6991.5, PCYOX1L:6991.5, KCNMB1:6991.5, DOCK11:6991.5, DOK2:6991.5, DGKZ:6991.5, FERMT3:6991.5, VEGFC:6991.5, SLC7A11:6991.5, GUCY1A2:6991.5, MERTK:6991.5, CXADR:6991.5, KIF5A:6991.5, TSPAN7:6991.5, CD109:6991.5, ATP2B2:6991.5, TAGLN2:6991.5, F11R:6991.5, CYB5R1:6991.5, PDE9A:6991.5, ITGB2:6991.5, VAV2:6991.5, JAML:6991.5, SHC1:6991.5, ORAI2:6991.5, SH2B2:6991.5, ITGA5:6991.5, ITIH3:6991.5, KIF26B:6991.5, H3-3A:6991.5, ABHD6:6991.5, PF4:6991.5, CLEC3B:6991.5, TEX264:6991.5, GUCY1A1:6991.5, ITGA2:6991.5, KLKB1:6991.5, DAGLB:6991.5, SYK:6991.5, PRKCB:6991.5, STIM1:6991.5, TUBA1A:6991.5, KIFC2:6991.5, SERPINF2:6991.5, SLC3A2:6991.5, IRF2:6991.5, SIN3A:6991.5, SDC2:6991.5, PCDH7:6991.5, ITGAM:6991.5, ZFPM2:6991.5, KIF5B:6991.5, MFN1:6991.5, PRKCE:6991.5, FGG:6991.5, BSG:6991.5, GTPBP2:6991.5, RASGRP1:6991.5, VEGFB:6991.5, SELP:6991.5, KLC2:6991.5, YES1:6991.5, SH2B1:6991.5, TUBAL3:6991.5, GP5:6991.5, F2:6991.5, ANXA2:6991.5, LCK:6991.5, SLC8A1:6991.5, PROS1:6991.5, F8:6991.5, MAFF:6991.5, TUBB4B:6991.5, SERPINA5:6991.5, KIF19:6991.5, CD47:6991.5, NHLRC2:6991.5, FLNA:6991.5, FAM3C:6991.5, SRC:6991.5, KCNMB2:6991.5, SERPINB2:6991.5, PSAP:6991.5, CFD:6991.5, KIF13B:6991.5, PLCG2:6991.5, TOR4A:6991.5, F5:6991.5, CD177:6991.5, LAT:6991.5, HBE1:6991.5, ITGA1:6991.5, ORM2:6991.5, ORM1:6991.5, MIF:6991.5, LYN:6991.5, ITGB3:6991.5, H3C8:6991.5, ADRA2B:6991.5, ORAI1:6991.5, PIK3R6:6991.5, H3C10:6991.5, H3C2:6991.5, KIF1C:11417, ATP2A1:11432, GATA4:11452, FGB:11456, MPIG6B:11507, NFE2:11584, PIK3R1:11590, CD244:11661, CTSW:11668, GAS6:11672, KLC1:11682, ITPR3:11705, KIF3A:11723, RAD51C:11749, IRAG1:11770, PTPN1:11820, STXBP2:11891, SELE:11895, NOS2:11987, IRF1:12022, TUBB8B:12045, PLEK:12054, SH2B3:12093, F2R:12110, INPP5D:12152, PRCP:12199, PRKCD:12216, KIF27:12257, ADRA2A:12299, PHF21A:12307, TUBB8:12332, APOOL:12351, SERPINE1:12378, THBD:12411, ABL1:12446, F3:12456, ENDOD1:12508, KNG1:12512, RARRES2:12519, DOCK6:12548, CFL1:12566, ARRB2:12621, GATA6:12636, DOCK9:12642, GATA2:12723, PECAM1:12724, PLG:12741, SELL:12751, SERPIND1:12752, KIF18B:12790, PRKCQ:12806, PAFAH2:12815, SERPINA4:12822, MGLL:12827, KIF15:12845, LRP8:12930, PIK3R2:12974, SPARC:12984, KIFC1:13001, F7:13096, ITIH4:13123, RBSN:13164, OLR1:13194, VPREB3:13253, SLC7A10:13313, EGF:13364, RAD51B:13408, C1QBP:13411, MMRN1:13429, SYTL4:13445, ATP2B4:13460, KIF20B:13505, PLAUR:13528, SDC3:13537, KIF18A:13596, P2RY12:13597, ITGAL:13602, PIK3CB:13603, ITGB1:13618, RACGAP1:13621, SLC7A7:13665, CENPE:13767, DGKE:13770, KIF11:13938, SERPINC1:13957, CABLES1:13961, KCNMB3:13964, PROC:14059, CLEC1B:14112, GP1BB:14276, ITGA2B:14284, KIF12:14290, DGKK:14378, GRB14:14422, WEE1:14472, KIF20A:14494, SCG3:14506, GLG1:14523, LAMP2:14532, KIF6:14572, JMJD1C:14594, SLC7A9:14701, MPL:14710, GP9:14739, F2RL2:14762, KIF16B:14821, LY6G6F:14861, ANGPT4:14893, ALB:14908, THPO:14962, A2M:15072
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	Unclear	0.743668680314807	0.8919748394813	-1	CASP7:1310, BCL2L1:1501, CASP9:1643, PPP1R13B:1875, XIAP:2414, BID:6991.5, CASP8:6991.5, TP73:6991.5, BAX:6991.5, DYNLL1:6991.5, E2F1:6991.5, MAPK3:6991.5, BMF:6991.5, GSDMD:6991.5, AKT2:6991.5, BBC3:6991.5, GSDME:6991.5, TFDP2:6991.5, APAF1:6991.5, NMT1:6991.5, UACA:6991.5, TP53:6991.5, AKT1:6991.5, TP53BP2:6991.5, CDKN2A:6991.5, APIP:6991.5, BCL2L11:6991.5, CASP3:6991.5, AVEN:6991.5, BCL2:6991.5, SFN:6991.5, DIABLO:6991.5, TFDP1:6991.5, PPP3R1:6991.5, BAD:11405, TP63:11516, DYNLL2:12374, C1QBP:13411, BAK1:13977, PPP3CC:14288
REACTOME_MAPK3_ERK1_ACTIVATION	Unclear	0.88455802279113	0.941474684234007	-1	IL6ST:1935, JAK2:6991.5, TYK2:6991.5, IL6R:6991.5, JAK1:6991.5, PTPN11:6991.5, MAPK3:6991.5, IL6:13825
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	Both	0.616628159625569	0.807980066718678	1	POLK:267, POLH:397, POLI:1119, REV3L:1155, REV1:1478, RFC2:1497, RFC1:1939, USP10:2392, RPA2:2701, POLD1:2724, RPA3:2824, RCHY1:2964, RFC4:3461, UBB:8114.5, SPRTN:8114.5, UFD1:8114.5, POLD3:8114.5, POLE2:8114.5, RFC5:8114.5, POLE4:8114.5, TRIM25:8114.5, RPA1:8114.5, POLE3:8114.5, UBE2L6:8114.5, PCLAF:8114.5, POLD4:8114.5, UBA7:8114.5, ISG15:8114.5, MAD2L2:12719, NPLOC4:14122, RFC3:14465, RPS27A:14475, POLD2:14510, UBA52:14607, POLE:14926, USP43:15079
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	Both	0.98329224458064	0.988225148817666	-1	POLE:180, UBA52:499, POLD2:596, RPS27A:631, RFC3:641, UBB:6991.5, POLD3:6991.5, POLE2:6991.5, RFC5:6991.5, POLE4:6991.5, RPA1:6991.5, POLE3:6991.5, POLD4:6991.5, RAD18:6991.5, UBE2B:6991.5, CUL4A:6991.5, DTL:6991.5, CUL4B:11495, RFC4:11645, RPA3:12282, POLD1:12382, RPA2:12405, USP1:12799, RFC1:13167, RFC2:13609
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	Both	0.64961416113334	0.831266382202564	1	POLH:397, RFC2:1497, RFC1:1939, RPA2:2701, RPA3:2824, RCHY1:2964, RFC4:3461, UBB:8114.5, SPRTN:8114.5, UFD1:8114.5, RFC5:8114.5, RPA1:8114.5, NPLOC4:14122, RFC3:14465, RPS27A:14475, UBA52:14607
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Both	0.0340817560050298	0.157481342386891	-1	H2BC4:160, H2AC4:376, H4C2:674, H2BC15:779, H4C3:1266, H2AC14:1425, H4C13:2133, H2BC9:2238, H4C14:2445, TINF2:6991.5, MPG:6991.5, NEIL3:6991.5, OGG1:6991.5, TERF2:6991.5, TERF1:6991.5, H4C8:6991.5, TERF2IP:6991.5, H2AC20:6991.5, H2BC21:6991.5, H4C11:6991.5, H4C15:6991.5, H4C1:6991.5, ACD:11427, POT1:11520, MUTYH:14905
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	Both	0.186921457287002	0.422791031781857	1	MUTYH:201, MBD4:211, TDG:2445, MPG:8114.5, OGG1:8114.5, NTHL1:8114.5, UNG:8114.5, APEX1:8114.5, SMUG1:8114.5
