GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_INTERLEUKIN_6_SIGNALING	Unclear	0.82796765990205	0.946623773496129	1	IL6ST:299, JAK1:3405, JAK2:8284, TYK2:8284, CBL:8284, STAT1:8284, IL6:8284, IL6R:8284, PTPN11:8284, SOCS3:8284
REACTOME_APOPTOSIS	MixOfBoth	0.0189423804167026	0.236361387920164	1	DYNLL1:22, DSG3:27, RIPK1:47, BID:135, H1-1:160, TRAF2:209, TNFSF10:398, H1-4:406, LMNB1:422, APPL1:491, CDH1:510, BCL2L11:604, TFDP2:765, PSMD2:949, BAX:1008, PSMB7:1070, CASP3:1169, E2F1:1170, PSMD10:1192, PSMD1:1237, H1-3:1242, TJP2:1570, PSMD13:1664, PTK2:1753, SATB1:1756, PSMA1:1762, TJP1:1904, H1-5:1958, BCAP31:2093, PSME3:2109, PSMB2:2316, PSMB1:2368, TP53:2391, DAPK1:2475, ADD1:2493, DIABLO:2504, PSME2:2606, HMGB2:2671, H1-2:2777, CD14:2968, PSME1:3051, PSME4:3056, BCL2L1:3137, PKP1:3167, UNC5A:3171, GAS2:3366, PRKCD:3426, BAD:8284, CFLAR:8284, VIM:8284, BAK1:8284, DAPK2:8284, DSG2:8284, CASP8:8284, PRKCQ:8284, ROCK1:8284, ARHGAP10:8284, TP63:8284, TP73:8284, DNM1L:8284, PPP1R13B:8284, PSMD5:8284, DSP:8284, PSMD8:8284, PSMB5:8284, ACIN1:8284, XIAP:8284, BMX:8284, STK24:8284, TRADD:8284, MAPK3:8284, BMF:8284, GSDMD:8284, AKT2:8284, BBC3:8284, GSDME:8284, UNC5B:8284, PSMD3:8284, BIRC2:8284, PSMD9:8284, FASLG:8284, APAF1:8284, PPP3CC:8284, PSMF1:8284, SEM1:8284, CASP9:8284, STK26:8284, DSG1:8284, APC:8284, DBNL:8284, NMT1:8284, TLR4:8284, CASP6:8284, AKT1:8284, PSMB6:8284, CDKN2A:8284, GSN:8284, APIP:8284, LY96:8284, PSMA8:8284, PSMD4:8284, PSMB4:8284, LMNA:8284, OMA1:8284, PSMD6:8284, CASP7:8284, DAPK3:8284, FADD:8284, FNTA:8284, DFFB:8284, AVEN:8284, UBB:8284, BCL2:8284, SFN:8284, PAK2:8284, MAPT:8284, DCC:8284, H1-0:8284, PSMD12:8284, SPTAN1:8284, OCLN:8284, TFDP1:8284, OPA1:8284, PSMB8:8284, PSMB10:8284, PPP3R1:8284, UBA52:8284, PSMB11:8284, DYNLL2:8284, FAS:13092, DFFA:13391, RPS27A:13425, PLEC:13699, CLSPN:13782, C1QBP:14139, PSMB9:14718, UACA:14747, TP53BP2:14845, TICAM2:14925
REACTOME_HEMOSTASIS	Vertivore	0.00433019023704882	0.113053430354667	1	CLU:3, HSPA5:20, H3-3A:36, PRKCG:44, DGKD:62, APOA1:68, TGFB1:82, VAV3:117, FGG:121, L1CAM:136, COL1A2:143, COL1A1:150, MAFK:202, SLC16A3:227, PRKCB:305, CD63:310, CXADR:356, ATP2A2:363, ATP2B1:364, KIF21B:373, CD9:381, EHD2:390, TLN1:427, FN1:432, IRF2:450, ANXA5:452, TUBB8:514, TUBA1B:521, TUBB8B:530, SLC7A6:537, ITGAX:560, ATP1B1:563, DOCK4:614, CD36:619, HDAC1:657, HABP4:702, STX4:734, SIN3A:744, ATP2B3:754, ORAI2:794, IGF2:850, KIF5B:877, PPP2R5C:897, SLC16A8:903, ACTN2:909, RCOR1:942, KLC2:966, EHD1:973, PRKAR2A:977, ORAI1:1041, SOD1:1043, ADRA2B:1068, CALU:1093, PCYOX1L:1140, SLC7A11:1166, PDPK1:1238, KIF4A:1255, SYK:1275, SRI:1296, MFN1:1308, GPC1:1318, P2RX1:1334, PDE2A:1376, YES1:1385, CD109:1413, GATA1:1524, TUBB2A:1551, ATP2B4:1566, OLA1:1607, VCL:1674, BRPF3:1687, DGKB:1702, CAPZA1:1706, PRKACA:1725, GNB3:1730, EHD3:1751, PTK2:1753, CAV1:1755, ATP1B3:1759, P2RX4:1766, ITIH3:1783, TUBA1A:1795, MERTK:1841, SLC7A8:1851, PIK3CA:1865, ITGAV:1870, PRKACB:1873, WDR1:1884, GATA3:1901, GRB14:1911, DGKQ:1959, KDM1A:2002, KIF1A:2007, TUBB2B:2014, ABHD12:2021, TEK:2169, TIMP3:2177, HMG20B:2181, DGKA:2208, AK3:2227, CD47:2257, CHID1:2267, VEGFA:2305, DOCK1:2314, RAF1:2318, F12:2322, PDE5A:2345, ATP2A3:2377, TP53:2391, PROCR:2392, LYN:2416, KIF3B:2449, CSK:2463, HBE1:2501, SERPIND1:2522, KCNMA1:2529, TRPC3:2537, GNB5:2574, PPP2R5D:2585, MANF:2586, ORM1:2675, H3C2:2743, TGFB2:2785, CAP1:2830, P2RX3:2862, MAG:2898, TREM1:2929, VTI1B:2937, DOCK2:2996, PPIL2:3012, ORM2:3034, AKAP10:3100, PDGFA:3121, DOCK3:3149, ITPR1:3161, PLA2G4A:3201, KIF2C:3239, SOS1:3253, MIF:3267, PRKG2:3289, TGFB3:3313, PLAUR:3391, PRKCD:3426, DGKI:3438, TMX3:3463, GNA14:3506, JAK2:8284, PTPN11:8284, PRKCQ:8284, MAPK3:8284, AKT1:8284, FGR:8284, PRKAR2B:8284, ITGAL:8284, ITGA3:8284, LAMP2:8284, TBXA2R:8284, NOS2:8284, SELE:8284, IGF1:8284, HGF:8284, SLC7A9:8284, CD44:8284, PRKCH:8284, RAB27B:8284, LCP2:8284, BCAR1:8284, PIK3CB:8284, KIF1B:8284, ITIH4:8284, F7:8284, DGKG:8284, GNA15:8284, GUCY1B1:8284, PPP2R5A:8284, CD84:8284, KIF26A:8284, KIF2A:8284, RASGRP2:8284, PPP2R5B:8284, TRPC7:8284, SPP2:8284, ACTN1:8284, MGLL:8284, ACTB:8284, KIFAP3:8284, STXBP2:8284, APBB1IP:8284, CAPZB:8284, RAPGEF3:8284, KIF22:8284, CARMIL1:8284, P2RX5:8284, APLP2:8284, APOB:8284, KIF3C:8284, GP6:8284, DOCK9:8284, F11:8284, P2RX7:8284, NOS1:8284, GLG1:8284, ITGA6:8284, RAPGEF4:8284, APOH:8284, ANGPT2:8284, ITPR3:8284, P2RX6:8284, PICK1:8284, PDGFB:8284, ITPK1:8284, SERPINA4:8284, TUBB1:8284, ANGPT4:8284, F9:8284, TIMP1:8284, DGKH:8284, SLC7A5:8284, SCG3:8284, PLAT:8284, TUBB4A:8284, KLC3:8284, PIK3R2:8284, PIK3CG:8284, SERPINE1:8284, RARRES2:8284, CDC37L1:8284, DOCK8:8284, RAD51C:8284, LGALS3BP:8284, PRKAR1A:8284, PF4V1:8284, VWF:8284, SH2B3:8284, PTPN6:8284, PHACTR2:8284, PDE10A:8284, SPARC:8284, KNG1:8284, ITGA4:8284, PDE1A:8284, PROC:8284, SDC1:8284, PLEK:8284, QSOX1:8284, STXBP3:8284, DOCK7:8284, MFN2:8284, CD2:8284, PIK3R3:8284, SERPINC1:8284, SLC8A2:8284, MYB:8284, EPCAM:8284, GNA13:8284, AKAP1:8284, A1BG:8284, KIF18A:8284, PLG:8284, CD244:8284, PLAU:8284, SRGN:8284, ITPR2:8284, PDE1B:8284, CDK2:8284, NFE2:8284, SDC4:8284, F13A1:8284, KIF25:8284, IRF1:8284, KLC1:8284, F2RL3:8284, TUBA4A:8284, AAMP:8284, VPREB3:8284, PDE11A:8284, ISLR:8284, ATP1B2:8284, DOCK6:8284, ACTN4:8284, SLC7A10:8284, RBSN:8284, KIF3A:8284, JCHAIN:8284, CABLES1:8284, DAGLA:8284, PHF21A:8284, MICAL1:8284, DOCK10:8284, SERPINE2:8284, GATA4:8284, VPS45:8284, KLC4:8284, ARRB1:8284, PRCP:8284, TRPC6:8284, PPP2R1B:8284, THBS1:8284, KIF23:8284, KIF11:8284, KIF20B:8284, MMRN1:8284, EGF:8284, KIF21A:8284, KIF2B:8284, GATA6:8284, GRB7:8284, VAV1:8284, APP:8284, ITGA10:8284, F13B:8284, ECM1:8284, SCCPDH:8284, AHSG:8284, PIK3R1:8284, LHFPL2:8284, KCNMB1:8284, GNA12:8284, DOK2:8284, DGKZ:8284, CABLES2:8284, FERMT3:8284, ALDOA:8284, ITGB1:8284, ADRA2A:8284, VEGFC:8284, GUCY1A2:8284, DGKE:8284, PRKCA:8284, JAM2:8284, APOOL:8284, SLC7A7:8284, KIF5A:8284, TSPAN7:8284, ATP2B2:8284, LRP8:8284, PAFAH2:8284, TAGLN2:8284, F11R:8284, FCER1G:8284, CYB5R1:8284, PTGIR:8284, PDE9A:8284, ITGB2:8284, VAV2:8284, JAML:8284, SH2B2:8284, ITGA5:8284, RACGAP1:8284, SDC3:8284, ALB:8284, ABHD6:8284, PF4:8284, KIF15:8284, CLEC3B:8284, TEX264:8284, GUCY1A1:8284, ITGA2:8284, F2RL2:8284, KLKB1:8284, DAGLB:8284, NOS3:8284, VEGFD:8284, CLEC1B:8284, JAM3:8284, WEE1:8284, STIM1:8284, KIFC2:8284, SERPINF2:8284, SLC3A2:8284, INPP5D:8284, P2RY12:8284, SDC2:8284, GP9:8284, PCDH7:8284, P2RY1:8284, ITGAM:8284, ZFPM2:8284, KCNMB3:8284, PRKCE:8284, FGB:8284, JMJD1C:8284, BSG:8284, GTPBP2:8284, CTSW:8284, RASGRP1:8284, CFL1:8284, OLR1:8284, VEGFB:8284, SELP:8284, SH2B1:8284, TUBAL3:8284, THBD:8284, GP5:8284, GATA2:8284, F2:8284, ANXA2:8284, LCK:8284, SLC8A1:8284, H3C13:8284, TUBA8:8284, ADRA2C:8284, PROS1:8284, F8:8284, MAFF:8284, P2RX2:8284, PRKAR1B:8284, TUBB4B:8284, SERPINA5:8284, KIF19:8284, PPIA:8284, ATP2A1:8284, PTPN1:8284, NHLRC2:8284, FLNA:8284, FAM3C:8284, SRC:8284, H3C4:8284, KCNMB2:8284, SERPINB2:8284, PSAP:8284, CFD:8284, KIF13B:8284, PLCG2:8284, TOR4A:8284, GP1BB:8284, MPIG6B:8284, CD177:8284, LAT:8284, ITGA1:8284, GNAT3:8284, PECAM1:8284, H3C8:8284, DGKK:8284, H3C11:8284, H3C1:8284, H3C10:8284, SELL:13119, SHC1:13184, KIF27:13246, KIF18B:13284, CD74:13326, ITGA2B:13355, PIK3R6:13392, PIK3R5:13395, SLC8A3:13405, KIF20A:13415, KIFC1:13513, LY6G6F:13546, F5:13574, CENPE:13577, IRAG1:13579, F10:13611, GAS6:13625, RAD51B:13733, KIF9:13744, KIF12:13857, F3:13921, DOCK11:14029, ITGB3:14042, CD48:14067, KIF6:14114, SYTL4:14119, C1QBP:14139, LEFTY2:14148, TFPI:14226, RHOA:14228, ARRB2:14251, KIF16B:14260, PLCG1:14302, ABL1:14303, F2R:14395, A2M:14538, CDC42:14594, MPL:14694, GATA5:14739, KIF1C:14813, ENDOD1:14852, KIF26B:14916, THPO:14987
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	Vertivore	0.644694005614635	0.897976611906175	1	DYNLL1:22, BID:135, BCL2L11:604, TFDP2:765, BAX:1008, CASP3:1169, E2F1:1170, TP53:2391, DIABLO:2504, BCL2L1:3137, BAD:8284, BAK1:8284, CASP8:8284, TP63:8284, TP73:8284, PPP1R13B:8284, XIAP:8284, MAPK3:8284, BMF:8284, GSDMD:8284, AKT2:8284, BBC3:8284, GSDME:8284, APAF1:8284, PPP3CC:8284, CASP9:8284, NMT1:8284, AKT1:8284, CDKN2A:8284, APIP:8284, CASP7:8284, AVEN:8284, BCL2:8284, SFN:8284, TFDP1:8284, PPP3R1:8284, DYNLL2:8284, C1QBP:14139, UACA:14747, TP53BP2:14845
REACTOME_MAPK3_ERK1_ACTIVATION	Unclear	0.684855406081929	0.922504873171801	1	IL6ST:299, JAK1:3405, JAK2:8284, TYK2:8284, IL6:8284, IL6R:8284, PTPN11:8284, MAPK3:8284
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	Unclear	0.0449007698772058	0.332732688206395	-1	POLH:168, POLK:282, USP10:648, RPA2:863, SPRTN:1653, RPS27A:1680, UBB:6821, UBA52:6821, REV3L:6821, RFC1:6821, RFC2:6821, POLD1:6821, UFD1:6821, POLD3:6821, POLE2:6821, POLI:6821, RPA3:6821, POLD2:6821, RFC5:6821, POLE4:6821, TRIM25:6821, RPA1:6821, REV1:6821, POLE3:6821, USP43:6821, UBE2L6:6821, RCHY1:6821, RFC4:6821, PCLAF:6821, POLE:6821, UBA7:6821, NPLOC4:6821, ISG15:6821, POLD4:12367, RFC3:12801, MAD2L2:13617
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	Unclear	0.715703399079509	0.930308107783175	-1	RPA2:863, RPS27A:1680, UBB:6821, UBA52:6821, RFC1:6821, RFC2:6821, POLD1:6821, POLD3:6821, POLE2:6821, RPA3:6821, POLD2:6821, RFC5:6821, POLE4:6821, RPA1:6821, POLE3:6821, RFC4:6821, POLE:6821, RAD18:6821, CUL4A:6821, CUL4B:6821, USP1:6821, POLD4:12367, RFC3:12801, DTL:14752, UBE2B:14921
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	Unclear	0.062724768709622	0.370238144881736	-1	POLH:168, RPA2:863, SPRTN:1653, RPS27A:1680, UBB:6821, UBA52:6821, RFC1:6821, RFC2:6821, UFD1:6821, RPA3:6821, RFC5:6821, RPA1:6821, RCHY1:6821, RFC4:6821, NPLOC4:6821, RFC3:12801
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Unclear	0.270282101620703	0.669518558964196	-1	MUTYH:111, H4C15:342, H4C14:729, TINF2:6821, ACD:6821, MPG:6821, NEIL3:6821, OGG1:6821, POT1:6821, TERF1:6821, H4C8:6821, TERF2IP:6821, H2AC20:6821, H2BC21:6821, H4C3:6821, H4C11:6821, H2BC15:6821, H4C13:6821, H2AC14:6821, H2AC4:6821, H4C1:6821, H4C2:6821, H2BC9:12188, H2BC4:13183, TERF2:14611
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	Unclear	0.113279995344137	0.487541996116953	-1	MUTYH:111, MBD4:1518, MPG:6821, OGG1:6821, NTHL1:6821, UNG:6821, APEX1:6821, SMUG1:6821, TDG:6821
